holiday_date,weekday,description,segment,source
2026-01-15,Thursday,Municipal Corporation Election - Maharashtra,FO,NSE HOLIDAY MASTER
2026-01-26,Monday,Republic Day,FO,NSE HOLIDAY MASTER
2026-02-15,Sunday,Mahashivratri,FO,NSE HOLIDAY MASTER
2026-03-03,Tuesday,Holi,FO,NSE HOLIDAY MASTER
2026-03-21,Saturday,Id-Ul-Fitr (Ramadan Eid),FO,NSE HOLIDAY MASTER
2026-03-26,Thursday,Shri Ram Navami,FO,NSE HOLIDAY MASTER
2026-03-31,Tuesday,Shri Mahavir Jayanti,FO,NSE HOLIDAY MASTER
2026-04-03,Friday,Good Friday,FO,NSE HOLIDAY MASTER
2026-04-14,Tuesday,Dr. Baba Saheb Ambedkar Jayanti,FO,NSE HOLIDAY MASTER
2026-05-01,Friday,Maharashtra Day,FO,NSE HOLIDAY MASTER
2026-05-28,Thursday,Bakri Id,FO,NSE HOLIDAY MASTER
2026-06-26,Friday,Muharram,FO,NSE HOLIDAY MASTER
2026-08-15,Saturday,Independence Day,FO,NSE HOLIDAY MASTER
2026-09-14,Monday,Ganesh Chaturthi,FO,NSE HOLIDAY MASTER
2026-10-02,Friday,Mahatma Gandhi Jayanti,FO,NSE HOLIDAY MASTER
2026-10-20,Tuesday,Dussehra,FO,NSE HOLIDAY MASTER
2026-11-08,Sunday,Diwali Laxmi Pujan*,FO,NSE HOLIDAY MASTER
2026-11-10,Tuesday,Diwali-Balipratipada,FO,NSE HOLIDAY MASTER
2026-11-24,Tuesday,Prakash Gurpurb Sri Guru Nanak Dev,FO,NSE HOLIDAY MASTER
2026-12-25,Friday,Christmas,FO,NSE HOLIDAY MASTER
