underlying,near_future_symbol,next_future_symbol,far_future_symbol,near_expiry,next_expiry,far_expiry,lot_sizes,live_futures_contracts,live_options_contracts,updated_at
360ONE,NSE:360ONE26JULFUT,NSE:360ONE26AUGFUT,NSE:360ONE26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,500,3,240,2026-07-16T23:27:02
ABB,NSE:ABB26JULFUT,NSE:ABB26AUGFUT,NSE:ABB26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,311,2026-07-16T23:27:02
ABCAPITAL,NSE:ABCAPITAL26JULFUT,NSE:ABCAPITAL26AUGFUT,NSE:ABCAPITAL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3100,3,320,2026-07-16T23:27:02
ADANIENSOL,NSE:ADANIENSOL26JULFUT,NSE:ADANIENSOL26AUGFUT,NSE:ADANIENSOL26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,675,3,350,2026-07-16T23:27:02
ADANIENT,NSE:ADANIENT26JULFUT,NSE:ADANIENT26AUGFUT,NSE:ADANIENT26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,309,3,294,2026-07-16T23:27:02
ADANIGREEN,NSE:ADANIGREEN26JULFUT,NSE:ADANIGREEN26AUGFUT,NSE:ADANIGREEN26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,600,3,352,2026-07-16T23:27:02
ADANIPORTS,NSE:ADANIPORTS26JULFUT,NSE:ADANIPORTS26AUGFUT,NSE:ADANIPORTS26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,475,3,374,2026-07-16T23:27:02
ADANIPOWER,NSE:ADANIPOWER26JULFUT,NSE:ADANIPOWER26AUGFUT,NSE:ADANIPOWER26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,3550,3,200,2026-07-16T23:27:02
ALKEM,NSE:ALKEM26JULFUT,NSE:ALKEM26AUGFUT,NSE:ALKEM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,125,3,426,2026-07-16T23:27:02
AMBER,NSE:AMBER26JULFUT,NSE:AMBER26AUGFUT,NSE:AMBER26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,100,3,332,2026-07-16T23:27:03
AMBUJACEM,NSE:AMBUJACEM26JULFUT,NSE:AMBUJACEM26AUGFUT,NSE:AMBUJACEM26SEPFUT,2026-07-28,2026-08-25 00:00:00,2026-09-29 00:00:00,1200,3,342,2026-07-16T23:27:03
