underlying,expiry_bucket,expiry_date,fyers_symbol,lot_size,tick_size
360ONE,NEAR,2026-07-28,NSE:360ONE26JULFUT,500,0.1
360ONE,NEXT,2026-08-25,NSE:360ONE26AUGFUT,500,0.1
360ONE,FAR,2026-09-29,NSE:360ONE26SEPFUT,500,0.1
ABB,NEAR,2026-07-28,NSE:ABB26JULFUT,125,0.5
ABB,NEXT,2026-08-25,NSE:ABB26AUGFUT,125,0.5
ABB,FAR,2026-09-29,NSE:ABB26SEPFUT,125,0.5
ABCAPITAL,NEAR,2026-07-28,NSE:ABCAPITAL26JULFUT,3100,0.05
ABCAPITAL,NEXT,2026-08-25,NSE:ABCAPITAL26AUGFUT,3100,0.05
ABCAPITAL,FAR,2026-09-29,NSE:ABCAPITAL26SEPFUT,3100,0.05
ADANIENSOL,NEAR,2026-07-28,NSE:ADANIENSOL26JULFUT,675,0.1
ADANIENSOL,NEXT,2026-08-25,NSE:ADANIENSOL26AUGFUT,675,0.1
ADANIENSOL,FAR,2026-09-29,NSE:ADANIENSOL26SEPFUT,675,0.1
ADANIENT,NEAR,2026-07-28,NSE:ADANIENT26JULFUT,309,0.1
ADANIENT,NEXT,2026-08-25,NSE:ADANIENT26AUGFUT,309,0.1
ADANIENT,FAR,2026-09-29,NSE:ADANIENT26SEPFUT,309,0.1
ADANIGREEN,NEAR,2026-07-28,NSE:ADANIGREEN26JULFUT,600,0.1
ADANIGREEN,NEXT,2026-08-25,NSE:ADANIGREEN26AUGFUT,600,0.1
ADANIGREEN,FAR,2026-09-29,NSE:ADANIGREEN26SEPFUT,600,0.1
ADANIPORTS,NEAR,2026-07-28,NSE:ADANIPORTS26JULFUT,475,0.1
ADANIPORTS,NEXT,2026-08-25,NSE:ADANIPORTS26AUGFUT,475,0.1
ADANIPORTS,FAR,2026-09-29,NSE:ADANIPORTS26SEPFUT,475,0.1
ADANIPOWER,NEAR,2026-07-28,NSE:ADANIPOWER26JULFUT,3550,0.01
ADANIPOWER,NEXT,2026-08-25,NSE:ADANIPOWER26AUGFUT,3550,0.01
ADANIPOWER,FAR,2026-09-29,NSE:ADANIPOWER26SEPFUT,3550,0.01
ALKEM,NEAR,2026-07-28,NSE:ALKEM26JULFUT,125,0.5
ALKEM,NEXT,2026-08-25,NSE:ALKEM26AUGFUT,125,0.5
ALKEM,FAR,2026-09-29,NSE:ALKEM26SEPFUT,125,0.5
