symbol_id,nse_symbol,yahoo_symbol,company_name,sector,industry,fno_eligible,active,source,last_updated
1,AARTIIND,AARTIIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
2,ABB,ABB.NS,,Capital Goods,Electrical Equipment,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
3,ABBOTINDIA,ABBOTINDIA.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
4,ABCAPITAL,ABCAPITAL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
5,ABFRL,ABFRL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
6,ACC,ACC.NS,,Cement,Cement,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
7,ADANIENT,ADANIENT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
8,ADANIPORTS,ADANIPORTS.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
9,ALKEM,ALKEM.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
10,AMBUJACEM,AMBUJACEM.NS,,Cement,Cement,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
11,APOLLOHOSP,APOLLOHOSP.NS,,Healthcare,Hospitals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
12,APOLLOTYRE,APOLLOTYRE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
13,ASHOKLEY,ASHOKLEY.NS,,Auto,Commercial Vehicles,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
14,ASIANPAINT,ASIANPAINT.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
15,ASTRAL,ASTRAL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
16,ATUL,ATUL.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
17,AUBANK,AUBANK.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
18,AUROPHARMA,AUROPHARMA.NS,,Pharma,Pharmaceuticals,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
19,AXISBANK,AXISBANK.NS,,Bank,Private Sector Bank,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
20,BAJAJ-AUTO,BAJAJ-AUTO.NS,,Auto,Two Wheelers,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
21,BAJAJFINSV,BAJAJFINSV.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
22,BAJFINANCE,BAJFINANCE.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
23,BALKRISIND,BALKRISIND.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
24,BALRAMCHIN,BALRAMCHIN.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
25,BANDHANBNK,BANDHANBNK.NS,,,,1,1,FnO_Stocks.xlsx,2026-07-15T15:43:16
