trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-05-21,FO,NSE,STF,NTPC,NTPC,2026-05-26,,,393.45,395.55,388.7,389.55,389.3,389.55,27106,15932458275.0,59055000,-35007000,1559,NSE,UDIFF F&O BHAVCOPY,FUTURE,NTPC
2026-05-21,FO,NSE,STF,NTPC,NTPC,2026-06-30,,,396.7,398.05,391.05,392.05,392.3,392.05,27413,16216066350.0,59100000,36654000,1611,NSE,UDIFF F&O BHAVCOPY,FUTURE,NTPC
2026-05-21,FO,NSE,STF,RBLBANK,RBLBANK,2026-05-26,,,334.95,335.5,327.25,330.15,330.0,330.15,4624,4864308121.25,47640875,-7213600,1651,NSE,UDIFF F&O BHAVCOPY,FUTURE,RBLBANK
2026-05-21,FO,NSE,STF,RBLBANK,RBLBANK,2026-06-30,,,336.85,337.45,328.6,331.4,331.3,331.4,4176,4411585030.0,27435175,7042150,1695,NSE,UDIFF F&O BHAVCOPY,FUTURE,RBLBANK
2026-05-21,FO,NSE,STF,RBLBANK,RBLBANK,2026-07-28,,,336.2,336.4,330.8,333.85,332.65,333.85,301,319260855.0,987425,857250,1737,NSE,UDIFF F&O BHAVCOPY,FUTURE,RBLBANK
2026-05-21,FO,NSE,STF,SHREECEM,SHREECEM,2026-07-28,,,24360.0,24420.0,24220.0,24410.0,24420.0,24410.0,29,17648125.0,2175,525,1780,NSE,UDIFF F&O BHAVCOPY,FUTURE,SHREECEM
2026-05-21,FO,NSE,STF,SHREECEM,SHREECEM,2026-05-26,,,24765.0,24865.0,24430.0,24650.0,24705.0,24650.0,5285,3261053000.0,285750,-109475,1841,NSE,UDIFF F&O BHAVCOPY,FUTURE,SHREECEM
2026-05-21,FO,NSE,STF,SHREECEM,SHREECEM,2026-06-30,,,24475.0,24715.0,24220.0,24525.0,24575.0,24525.0,5041,3085688375.0,118450,85275,1879,NSE,UDIFF F&O BHAVCOPY,FUTURE,SHREECEM
2026-05-21,FO,NSE,STF,TATASTEEL,TATASTEEL,2026-07-28,,,207.14,208.18,205.81,206.89,206.66,206.89,2240,1272428080.0,32463750,5901500,1923,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATASTEEL
2026-05-21,FO,NSE,STF,TATASTEEL,TATASTEEL,2026-06-30,,,206.5,207.05,204.51,205.68,205.45,205.68,9296,5262544897.5,70325750,18576250,1935,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATASTEEL
2026-05-21,FO,NSE,STF,TATASTEEL,TATASTEEL,2026-05-26,,,209.1,209.8,207.38,208.39,208.36,208.39,14168,8124403705.0,101277000,-26127750,2023,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATASTEEL
2026-05-21,FO,NSE,STF,TCS,TCS,2026-07-28,,,2299.1,2299.1,2273.9,2290.7,2289.0,2290.7,722,371418840.0,1029375,80100,2177,NSE,UDIFF F&O BHAVCOPY,FUTURE,TCS
2026-05-21,FO,NSE,STF,TCS,TCS,2026-06-30,,,2299.1,2305.7,2278.0,2290.1,2289.1,2290.1,88008,35239277132.5,18874450,10415825,2230,NSE,UDIFF F&O BHAVCOPY,FUTURE,TCS
2026-05-21,FO,NSE,STF,TCS,TCS,2026-05-26,,,2301.1,2304.5,2284.6,2298.3,2296.0,2298.3,89536,35974838165.0,22238475,-13246275,2298,NSE,UDIFF F&O BHAVCOPY,FUTURE,TCS
2026-05-21,FO,NSE,STF,ABCAPITAL,ABCAPITAL,2026-05-26,,,360.0,363.5,348.8,350.0,348.8,350.0,6350,6959481090.0,37947100,-10223800,2378,NSE,UDIFF F&O BHAVCOPY,FUTURE,ABCAPITAL
2026-05-21,FO,NSE,STF,ABCAPITAL,ABCAPITAL,2026-06-30,,,363.2,365.8,351.05,352.25,351.05,352.25,5565,6121385240.0,19043300,13401300,2387,NSE,UDIFF F&O BHAVCOPY,FUTURE,ABCAPITAL
2026-05-21,FO,NSE,STF,ABCAPITAL,ABCAPITAL,2026-07-28,,,365.0,365.2,353.0,353.8,353.8,353.8,17,18864120.0,1534500,12400,2402,NSE,UDIFF F&O BHAVCOPY,FUTURE,ABCAPITAL
2026-05-21,FO,NSE,STF,JINDALSTEL,JINDALSTEL,2026-07-28,,,1237.0,1237.0,1204.4,1207.6,1213.7,1207.6,47,35702062.5,41875,15000,2524,NSE,UDIFF F&O BHAVCOPY,FUTURE,JINDALSTEL
2026-05-21,FO,NSE,STF,JINDALSTEL,JINDALSTEL,2026-06-30,,,1244.1,1245.1,1203.0,1206.0,1203.3,1206.0,5668,4305090250.0,3769375,2984375,2581,NSE,UDIFF F&O BHAVCOPY,FUTURE,JINDALSTEL
2026-05-21,FO,NSE,STF,JINDALSTEL,JINDALSTEL,2026-05-26,,,1239.3,1239.3,1194.6,1199.2,1199.9,1199.2,6317,4770309750.0,9031875,-2737500,2610,NSE,UDIFF F&O BHAVCOPY,FUTURE,JINDALSTEL
2026-05-21,FO,NSE,STF,PRESTIGE,PRESTIGE,2026-06-30,,,1396.0,1424.6,1387.5,1397.4,1393.2,1397.4,2867,1813862070.0,1464750,982800,2690,NSE,UDIFF F&O BHAVCOPY,FUTURE,PRESTIGE
2026-05-21,FO,NSE,STF,PRESTIGE,PRESTIGE,2026-05-26,,,1398.4,1416.3,1381.3,1388.8,1381.5,1388.8,4045,2544599430.0,3940200,-1163250,2702,NSE,UDIFF F&O BHAVCOPY,FUTURE,PRESTIGE
2026-05-21,FO,NSE,STF,PRESTIGE,PRESTIGE,2026-07-28,,,1426.0,1426.0,1393.0,1393.6,1393.0,1393.6,17,10742310.0,12150,-1800,2713,NSE,UDIFF F&O BHAVCOPY,FUTURE,PRESTIGE
2026-05-21,FO,NSE,STF,TATAELXSI,TATAELXSI,2026-06-30,,,4173.0,4173.0,4086.3,4107.7,4096.1,4107.7,11202,4600851730.0,1169100,464600,2805,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATAELXSI
2026-05-21,FO,NSE,STF,TATAELXSI,TATAELXSI,2026-07-28,,,4144.7,4144.7,4080.7,4125.5,4126.0,4125.5,56,28745637.5,30500,4000,2838,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATAELXSI
2026-05-21,FO,NSE,STF,TATAELXSI,TATAELXSI,2026-05-26,,,4234.7,4246.0,4177.0,4229.1,4211.1,4229.1,11490,4841894050.0,1035800,-945500,2921,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATAELXSI
2026-05-21,FO,NSE,STF,ADANIPOWER,ADANIPOWER,2026-05-26,,,222.4,226.64,218.84,219.31,219.49,219.31,7701,6087836957.5,62419650,-16539450,2982,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIPOWER
