security_id,symbol,name,sector,industry,exchange,segment,fno_flag,active_flag,lot_size,tick_size,isin,fyers_symbol,nse_token,source,security_type,instrument_class,is_index,is_stock,is_fno,aqsd_scope,enrichment_status,enrichment_source
SMD-0001,360ONE,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0002,AARTIIND,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0003,ABB,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0004,ABCAPITAL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0005,ABFRL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0006,ACC,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0007,ADANIENSOL,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0008,ADANIENT,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0009,ADANIGREEN,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
SMD-0010,ADANIPORTS,,,,NSE,FNO,YES,YES,,,,,,NSE_FNO_CONTRACT_MASTER,EQUITY,STOCK_UNDERLYING,NO,YES,YES,NSE_FNO_UNIVERSE,FOUNDATION_COMPLETE,AQSD_INTERNAL_CLASSIFICATION
