trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,450.0,CE,0.0,0.0,0.0,6.9,0.0,7.1,0,0.0,0,0,1,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,395.0,CE,14.1,14.1,10.0,12.85,12.85,12.85,362,456604115.0,399900,96100,2,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,435.0,CE,1.55,1.75,1.05,1.3,1.3,1.3,63,85216210.0,127100,-31000,3,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,335.0,PE,0.0,0.0,0.0,4.55,0.0,2.3,0,0.0,0,0,4,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,370.0,PE,7.6,7.6,7.4,7.4,7.4,9.1,3,3510440.0,189100,0,5,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,450.0,PE,0.0,0.0,0.0,87.2,0.0,54.5,0,0.0,0,0,6,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,450.0,CE,0.6,0.75,0.45,0.55,0.55,0.55,226,315642620.0,604500,-80600,7,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,325.0,CE,0.0,0.0,0.0,73.15,0.0,78.1,0,0.0,0,0,8,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,315.0,CE,0.0,0.0,0.0,74.95,74.95,85.0,0,0.0,6200,0,9,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-09-29,400.0,CE,0.0,0.0,0.0,31.25,0.0,32.4,0,0.0,0,0,11,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,425.0,PE,0.0,0.0,0.0,43.15,0.0,35.95,0,0.0,0,0,12,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,380.0,PE,0.0,0.0,0.0,35.7,0.0,12.4,0,0.0,0,0,13,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,410.0,PE,11.55,20.45,11.55,16.3,16.4,16.3,243,321988630.0,551800,-114700,14,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,365.0,PE,1.35,2.15,1.25,1.3,1.25,1.3,54,61374265.0,241800,3100,15,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-07-14,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,350.0,CE,0.0,0.0,0.0,41.85,41.85,50.7,0,0.0,83700,0,16,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
