security_id,symbol,resolved_fyers_symbol,market_price_scope,acquisition_source,resolution,name,sector,industry,exchange,instrument_class,security_type,is_index,is_stock,fno_membership_status,fno_membership_asof,queue_status,download_required,queue_generated_at
SMD-0001,360ONE,NSE:360ONE-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0003,ABB,NSE:ABB-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0008,ADANIENT,NSE:ADANIENT-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0010,ADANIPORTS,NSE:ADANIPORTS-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0012,ALKEM,NSE:ALKEM-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0013,AMBER,NSE:AMBER-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
SMD-0015,ANGELONE,NSE:ANGELONE-EQ,CURRENT_FNO,FYERS_HISTORY_API,1D,,,,NSE,STOCK_UNDERLYING,EQUITY,NO,YES,CURRENT_FNO,2026-08-04,READY,True,2026-08-04T23:43:14+05:30
