trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,415.0,CE,1.25,1.35,0.7,0.7,0.7,1.55,22,28373680.0,139500,31000,23,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,320.0,CE,0.0,0.0,0.0,39.45,0.0,47.0,0,0.0,0,0,24,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,350.0,CE,23.5,26.85,23.5,26.85,26.85,27.4,3,3491685.0,18600,3100,25,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,365.0,CE,0.0,0.0,0.0,25.2,0.0,20.05,0,0.0,0,0,26,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,410.0,PE,51.7,51.7,51.7,51.7,51.7,52.8,3,4293810.0,18600,-9300,27,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,400.0,PE,0.0,0.0,0.0,48.45,0.0,50.25,0,0.0,0,0,28,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,370.0,CE,0.0,0.0,0.0,17.2,0.0,17.95,0,0.0,0,0,29,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,300.0,CE,0.0,0.0,0.0,72.85,0.0,67.05,0,0.0,0,0,30,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,400.0,CE,0.0,0.0,0.0,17.45,0.0,13.7,0,0.0,0,0,31,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,390.0,PE,0.0,0.0,0.0,41.85,0.0,43.3,0,0.0,0,0,32,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-08-25,340.0,PE,0.0,0.0,0.0,16.25,0.0,16.35,0,0.0,0,0,33,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,400.0,PE,0.0,0.0,0.0,65.65,0.0,47.25,0,0.0,0,0,34,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,375.0,PE,0.0,0.0,0.0,28.85,0.0,29.8,0,0.0,0,0,35,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,420.0,PE,0.0,0.0,0.0,53.5,53.5,62.0,0,0.0,12400,0,36,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,375.0,PE,0.0,0.0,0.0,27.95,28.0,24.6,0,0.0,55800,0,37,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,300.0,PE,0.45,0.5,0.35,0.5,0.5,0.65,39,36321460.0,480500,21700,38,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,400.0,CE,5.8,5.8,5.8,5.8,5.8,8.7,1,1257980.0,3100,3100,40,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,390.0,PE,30.0,34.45,27.9,33.35,33.4,33.35,16,20907795.0,58900,3100,41,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,400.0,PE,0.0,0.0,0.0,35.0,35.0,44.0,0,0.0,68200,0,42,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,360.0,PE,17.75,17.75,17.75,17.75,17.75,21.25,1,1171025.0,55800,3100,43,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,365.0,PE,11.5,16.4,11.05,15.1,15.05,15.1,74,86766830.0,406100,-52700,44,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,340.0,CE,22.75,29.3,22.1,24.2,24.2,25.95,52,58854740.0,235600,9300,45,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-06-30,360.0,CE,9.4,17.6,9.4,11.7,11.15,11.7,1357,1570728770.0,1317500,-186000,46,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,310.0,CE,0.0,0.0,0.0,45.65,0.0,54.8,0,0.0,0,0,47,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,325.0,CE,0.0,0.0,0.0,49.35,0.0,43.3,0,0.0,0,0,48,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
2026-06-05,FO,NSE,STO,ABCAPITAL,ABCAPITAL,2026-07-28,410.0,PE,0.0,0.0,0.0,73.75,0.0,55.1,0,0.0,0,0,49,NSE,UDIFF F&O BHAVCOPY,OPTION,ABCAPITAL
