Trade_Date,Download_Status,Parse_Status,Rows,Message
2025-05-26,DOWNLOADED,SUCCESS,2105,Downloaded successfully.
2025-05-27,DOWNLOADED,SUCCESS,2105,Downloaded successfully.
2025-05-28,DOWNLOADED,SUCCESS,2108,Downloaded successfully.
2025-05-29,DOWNLOADED,SUCCESS,2092,Downloaded successfully.
2025-05-30,DOWNLOADED,SUCCESS,2092,Downloaded successfully.
2025-06-02,DOWNLOADED,SUCCESS,2090,Downloaded successfully.
2025-06-03,DOWNLOADED,SUCCESS,2086,Downloaded successfully.
2025-06-04,DOWNLOADED,SUCCESS,2086,Downloaded successfully.
2025-06-05,DOWNLOADED,SUCCESS,2082,Downloaded successfully.
2025-06-06,DOWNLOADED,SUCCESS,2075,Downloaded successfully.
2025-06-09,DOWNLOADED,SUCCESS,2078,Downloaded successfully.
2025-06-10,DOWNLOADED,SUCCESS,2080,Downloaded successfully.
2025-06-11,DOWNLOADED,SUCCESS,2075,Downloaded successfully.
2025-06-12,DOWNLOADED,SUCCESS,2069,Downloaded successfully.
2025-06-13,DOWNLOADED,SUCCESS,2064,Downloaded successfully.
2025-06-16,DOWNLOADED,SUCCESS,2065,Downloaded successfully.
2025-06-17,DOWNLOADED,SUCCESS,2049,Downloaded successfully.
2025-06-18,DOWNLOADED,SUCCESS,2045,Downloaded successfully.
2025-06-19,DOWNLOADED,SUCCESS,2043,Downloaded successfully.
2025-06-20,DOWNLOADED,SUCCESS,2037,Downloaded successfully.
2025-06-23,DOWNLOADED,SUCCESS,2043,Downloaded successfully.
2025-06-24,DOWNLOADED,SUCCESS,2043,Downloaded successfully.
2025-06-25,DOWNLOADED,SUCCESS,2045,Downloaded successfully.
2025-06-26,DOWNLOADED,SUCCESS,2041,Downloaded successfully.
2025-06-27,DOWNLOADED,SUCCESS,2039,Downloaded successfully.
2025-06-30,DOWNLOADED,SUCCESS,2045,Downloaded successfully.
2025-07-01,DOWNLOADED,SUCCESS,2045,Downloaded successfully.
2025-07-02,DOWNLOADED,SUCCESS,2043,Downloaded successfully.
2025-07-03,DOWNLOADED,SUCCESS,2038,Downloaded successfully.
2025-07-04,DOWNLOADED,SUCCESS,2038,Downloaded successfully.
2025-07-07,DOWNLOADED,SUCCESS,2045,Downloaded successfully.
2025-07-08,DOWNLOADED,SUCCESS,2044,Downloaded successfully.
2025-07-09,DOWNLOADED,SUCCESS,2043,Downloaded successfully.
2025-07-10,DOWNLOADED,SUCCESS,2035,Downloaded successfully.
2025-07-11,DOWNLOADED,SUCCESS,2030,Downloaded successfully.
2025-07-14,DOWNLOADED,SUCCESS,2046,Downloaded successfully.
2025-07-15,DOWNLOADED,SUCCESS,2046,Downloaded successfully.
2025-07-16,DOWNLOADED,SUCCESS,2041,Downloaded successfully.
2025-07-17,DOWNLOADED,SUCCESS,2042,Downloaded successfully.
2025-07-18,DOWNLOADED,SUCCESS,2044,Downloaded successfully.
2025-07-21,DOWNLOADED,SUCCESS,2049,Downloaded successfully.
2025-07-22,DOWNLOADED,SUCCESS,2048,Downloaded successfully.
2025-07-23,DOWNLOADED,SUCCESS,2047,Downloaded successfully.
2025-07-24,DOWNLOADED,SUCCESS,2046,Downloaded successfully.
2025-07-25,DOWNLOADED,SUCCESS,2046,Downloaded successfully.
2025-07-28,DOWNLOADED,SUCCESS,2051,Downloaded successfully.
2025-07-29,DOWNLOADED,SUCCESS,2050,Downloaded successfully.
2025-07-30,DOWNLOADED,SUCCESS,2053,Downloaded successfully.
2025-07-31,DOWNLOADED,SUCCESS,2055,Downloaded successfully.
2025-08-01,DOWNLOADED,SUCCESS,2057,Downloaded successfully.
2025-08-04,DOWNLOADED,SUCCESS,2074,Downloaded successfully.
2025-08-05,DOWNLOADED,SUCCESS,2077,Downloaded successfully.
2025-08-06,DOWNLOADED,SUCCESS,2079,Downloaded successfully.
2025-08-07,DOWNLOADED,SUCCESS,2079,Downloaded successfully.
2025-08-08,DOWNLOADED,SUCCESS,2078,Downloaded successfully.
2025-08-11,DOWNLOADED,SUCCESS,2089,Downloaded successfully.
2025-08-12,DOWNLOADED,SUCCESS,2089,Downloaded successfully.
2025-08-13,DOWNLOADED,SUCCESS,2087,Downloaded successfully.
2025-08-14,DOWNLOADED,SUCCESS,2088,Downloaded successfully.
2025-08-15,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2025-08-18,DOWNLOADED,SUCCESS,2097,Downloaded successfully.
2025-08-19,DOWNLOADED,SUCCESS,2098,Downloaded successfully.
2025-08-20,DOWNLOADED,SUCCESS,2101,Downloaded successfully.
2025-08-21,DOWNLOADED,SUCCESS,2099,Downloaded successfully.
2025-08-22,DOWNLOADED,SUCCESS,2099,Downloaded successfully.
2025-08-25,DOWNLOADED,SUCCESS,2116,Downloaded successfully.
2025-08-26,DOWNLOADED,SUCCESS,2115,Downloaded successfully.
2025-08-27,UNAVAILABLE,NOT RUN,0,No NSE bhavcopy was available for this date.
2025-08-28,DOWNLOADED,SUCCESS,2120,Downloaded successfully.
2025-08-29,DOWNLOADED,SUCCESS,2117,Downloaded successfully.
2025-09-01,DOWNLOADED,SUCCESS,2129,Downloaded successfully.
2025-09-02,DOWNLOADED,SUCCESS,2126,Downloaded successfully.
2025-09-03,DOWNLOADED,SUCCESS,2126,Downloaded successfully.
2025-09-04,DOWNLOADED,SUCCESS,2128,Downloaded successfully.
2025-09-05,DOWNLOADED,SUCCESS,2123,Downloaded successfully.
2025-09-08,DOWNLOADED,SUCCESS,2142,Downloaded successfully.
2025-09-09,DOWNLOADED,SUCCESS,2208,Downloaded successfully.
2025-09-10,DOWNLOADED,SUCCESS,2208,Downloaded successfully.
2025-09-11,DOWNLOADED,SUCCESS,2207,Downloaded successfully.
2025-09-12,DOWNLOADED,SUCCESS,2208,Downloaded successfully.
2025-09-15,DOWNLOADED,SUCCESS,2230,Downloaded successfully.
2025-09-16,DOWNLOADED,SUCCESS,2229,Downloaded successfully.
2025-09-17,DOWNLOADED,SUCCESS,2232,Downloaded successfully.
2025-09-18,DOWNLOADED,SUCCESS,2229,Downloaded successfully.
2025-09-19,DOWNLOADED,SUCCESS,2228,Downloaded successfully.
2025-09-22,DOWNLOADED,SUCCESS,2248,Downloaded successfully.
2025-09-23,DOWNLOADED,SUCCESS,2248,Downloaded successfully.
2025-09-24,DOWNLOADED,SUCCESS,2245,Downloaded successfully.
2025-09-25,DOWNLOADED,SUCCESS,2244,Downloaded successfully.
2025-09-26,DOWNLOADED,SUCCESS,2247,Downloaded successfully.
2025-09-29,DOWNLOADED,SUCCESS,2253,Downloaded successfully.
2025-09-30,DOWNLOADED,SUCCESS,2256,Downloaded successfully.
