trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-06-09,FO,NSE,STF,ABCAPITAL,ABCAPITAL,2026-06-30,,,346.95,354.4,346.85,353.45,353.75,353.45,1859,2023030085.0,51689400,-616900,48,NSE,UDIFF F&O BHAVCOPY,FUTURE,ABCAPITAL
2026-06-09,FO,NSE,STF,ABCAPITAL,ABCAPITAL,2026-07-28,,,351.2,356.2,350.75,355.4,355.7,355.4,68,74507570.0,1875500,-55800,85,NSE,UDIFF F&O BHAVCOPY,FUTURE,ABCAPITAL
2026-06-09,FO,NSE,STF,ABCAPITAL,ABCAPITAL,2026-08-25,,,354.65,356.75,354.65,356.75,356.75,356.75,2,2205340.0,89900,-6200,105,NSE,UDIFF F&O BHAVCOPY,FUTURE,ABCAPITAL
2026-06-09,FO,NSE,STF,ADANIENSOL,ADANIENSOL,2026-07-28,,,1595.7,1605.0,1576.3,1594.8,1586.2,1594.8,103,110667532.5,172800,12825,125,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIENSOL
2026-06-09,FO,NSE,STF,ADANIENSOL,ADANIENSOL,2026-06-30,,,1594.0,1603.0,1561.7,1585.7,1579.9,1585.7,3695,3953422215.0,18937800,-348300,173,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIENSOL
2026-06-09,FO,NSE,STF,ADANIENSOL,ADANIENSOL,2026-08-25,,,1600.0,1609.0,1600.0,1607.0,1607.0,1607.0,4,4332487.5,32400,0,214,NSE,UDIFF F&O BHAVCOPY,FUTURE,ADANIENSOL
2026-06-09,FO,NSE,STF,INDHOTEL,INDHOTEL,2026-08-25,,,669.0,675.5,669.0,675.0,674.8,675.0,8,5382900.0,25000,2000,415,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDHOTEL
2026-06-09,FO,NSE,STF,INDHOTEL,INDHOTEL,2026-06-30,,,655.9,669.0,655.9,668.0,667.5,668.0,1824,1211554400.0,20830000,-161000,416,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDHOTEL
2026-06-09,FO,NSE,STF,INDHOTEL,INDHOTEL,2026-07-28,,,662.2,672.0,660.8,671.55,671.55,671.55,58,38678350.0,3841000,9000,425,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDHOTEL
2026-06-09,FO,NSE,STF,INDIANB,INDIANB,2026-07-28,,,843.0,874.0,843.0,872.8,872.05,872.8,197,169322900.0,431000,-13000,506,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDIANB
2026-06-09,FO,NSE,STF,INDIANB,INDIANB,2026-06-30,,,838.0,875.7,838.0,874.0,874.6,874.0,4738,4095576550.0,14676000,-3000,544,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDIANB
2026-06-09,FO,NSE,STF,INDIANB,INDIANB,2026-08-25,,,849.7,873.0,845.0,871.1,873.0,871.1,22,18913850.0,34000,-4000,569,NSE,UDIFF F&O BHAVCOPY,FUTURE,INDIANB
2026-06-09,FO,NSE,STF,INOXWIND,INOXWIND,2026-06-30,,,85.07,87.0,84.75,86.73,86.51,86.73,1659,508860137.5,90687025,378950,731,NSE,UDIFF F&O BHAVCOPY,FUTURE,INOXWIND
2026-06-09,FO,NSE,STF,INOXWIND,INOXWIND,2026-08-25,,,86.44,87.5,86.35,87.45,87.47,87.45,12,6674560.0,1164800,0,738,NSE,UDIFF F&O BHAVCOPY,FUTURE,INOXWIND
2026-06-09,FO,NSE,STF,INOXWIND,INOXWIND,2026-07-28,,,85.99,87.48,85.45,87.09,86.93,87.09,118,65167232.0,5913600,38400,801,NSE,UDIFF F&O BHAVCOPY,FUTURE,INOXWIND
2026-06-09,FO,NSE,STF,JINDALSTEL,JINDALSTEL,2026-07-28,,,1170.0,1176.1,1158.4,1166.3,1163.7,1166.3,80,58467437.5,122500,-6875,808,NSE,UDIFF F&O BHAVCOPY,FUTURE,JINDALSTEL
2026-06-09,FO,NSE,STF,JINDALSTEL,JINDALSTEL,2026-08-25,,,1175.9,1175.9,1164.6,1166.5,1166.5,1166.5,6,4386875.0,19375,1875,919,NSE,UDIFF F&O BHAVCOPY,FUTURE,JINDALSTEL
2026-06-09,FO,NSE,STF,JINDALSTEL,JINDALSTEL,2026-06-30,,,1174.4,1176.4,1150.0,1158.0,1154.8,1158.0,1517,1099358500.0,12523125,171875,963,NSE,UDIFF F&O BHAVCOPY,FUTURE,JINDALSTEL
2026-06-09,FO,NSE,STF,MPHASIS,MPHASIS,2026-07-28,,,2350.8,2368.4,2330.9,2366.4,2361.8,2366.4,36,23310870.0,41250,825,1040,NSE,UDIFF F&O BHAVCOPY,FUTURE,MPHASIS
2026-06-09,FO,NSE,STF,MPHASIS,MPHASIS,2026-08-25,,,2375.0,2382.1,2374.0,2382.1,2382.1,2382.1,4,2614177.5,5775,-275,1128,NSE,UDIFF F&O BHAVCOPY,FUTURE,MPHASIS
2026-06-09,FO,NSE,STF,MPHASIS,MPHASIS,2026-06-30,,,2350.0,2377.6,2315.9,2356.3,2349.6,2356.3,1838,1186320190.0,4564175,9625,1167,NSE,UDIFF F&O BHAVCOPY,FUTURE,MPHASIS
2026-06-09,FO,NSE,STF,NESTLEIND,NESTLEIND,2026-07-28,,,1421.0,1421.0,1408.0,1418.7,1416.8,1418.7,78,55110150.0,278500,1000,1217,NSE,UDIFF F&O BHAVCOPY,FUTURE,NESTLEIND
2026-06-09,FO,NSE,STF,NESTLEIND,NESTLEIND,2026-06-30,,,1401.6,1419.9,1401.6,1415.8,1414.7,1415.8,2006,1416153700.0,11390000,-267500,1252,NSE,UDIFF F&O BHAVCOPY,FUTURE,NESTLEIND
2026-06-09,FO,NSE,STF,NESTLEIND,NESTLEIND,2026-08-25,,,1421.0,1424.2,1419.2,1424.2,1424.2,1430.5,3,2132200.0,8000,500,1396,NSE,UDIFF F&O BHAVCOPY,FUTURE,NESTLEIND
2026-06-09,FO,NSE,STF,NTPC,NTPC,2026-06-30,,,364.4,367.6,357.3,358.0,358.2,358.0,4401,2371929150.0,134182500,1266000,1512,NSE,UDIFF F&O BHAVCOPY,FUTURE,NTPC
2026-06-09,FO,NSE,STF,NTPC,NTPC,2026-07-28,,,366.5,367.0,359.45,359.95,360.0,359.95,1351,731167050.0,12673500,1614000,1548,NSE,UDIFF F&O BHAVCOPY,FUTURE,NTPC
2026-06-09,FO,NSE,STF,NTPC,NTPC,2026-08-25,,,365.0,365.1,361.25,361.65,361.55,361.65,50,27218625.0,306000,57000,1618,NSE,UDIFF F&O BHAVCOPY,FUTURE,NTPC
2026-06-09,FO,NSE,STF,PRESTIGE,PRESTIGE,2026-06-30,,,1349.8,1368.4,1340.1,1363.8,1352.5,1363.8,946,577807425.0,5482800,-21600,1685,NSE,UDIFF F&O BHAVCOPY,FUTURE,PRESTIGE
2026-06-09,FO,NSE,STF,PRESTIGE,PRESTIGE,2026-07-28,,,1368.0,1372.5,1348.1,1369.0,1362.5,1369.0,16,9814950.0,354150,0,1692,NSE,UDIFF F&O BHAVCOPY,FUTURE,PRESTIGE
2026-06-09,FO,NSE,STF,PRESTIGE,PRESTIGE,2026-08-25,,,0.0,0.0,0.0,1349.6,1349.8,1373.3,0,0.0,3150,0,1697,NSE,UDIFF F&O BHAVCOPY,FUTURE,PRESTIGE
2026-06-09,FO,NSE,STF,SHREECEM,SHREECEM,2026-08-25,,,23450.0,23450.0,23450.0,23450.0,23450.0,23750.0,1,586250.0,1000,25,1816,NSE,UDIFF F&O BHAVCOPY,FUTURE,SHREECEM
2026-06-09,FO,NSE,STF,SHREECEM,SHREECEM,2026-06-30,,,23645.0,23735.0,23470.0,23540.0,23510.0,23540.0,1373,809596125.0,398275,-8325,1836,NSE,UDIFF F&O BHAVCOPY,FUTURE,SHREECEM
2026-06-09,FO,NSE,STF,SHREECEM,SHREECEM,2026-07-28,,,23510.0,23595.0,23400.0,23450.0,23420.0,23450.0,35,20555625.0,6400,325,1949,NSE,UDIFF F&O BHAVCOPY,FUTURE,SHREECEM
2026-06-09,FO,NSE,STF,TATAELXSI,TATAELXSI,2026-07-28,,,4181.6,4202.0,4136.4,4193.3,4202.0,4193.3,100,52076412.5,71875,4750,1960,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATAELXSI
2026-06-09,FO,NSE,STF,TATAELXSI,TATAELXSI,2026-06-30,,,4197.0,4211.1,4132.9,4195.6,4191.0,4195.6,1416,590492860.0,1774700,5900,2053,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATAELXSI
2026-06-09,FO,NSE,STF,TATAELXSI,TATAELXSI,2026-08-25,,,4200.4,4200.4,4152.4,4152.4,4152.4,4318.1,7,3660400.0,11500,500,2097,NSE,UDIFF F&O BHAVCOPY,FUTURE,TATAELXSI
2026-06-09,FO,NSE,STF,TCS,TCS,2026-08-25,,,2172.1,2179.6,2148.0,2167.2,2167.0,2167.2,446,216706927.5,605475,64800,2159,NSE,UDIFF F&O BHAVCOPY,FUTURE,TCS
2026-06-09,FO,NSE,STF,TCS,TCS,2026-07-28,,,2173.2,2180.0,2138.1,2159.2,2160.0,2159.2,2569,1243122142.5,4043925,171675,2296,NSE,UDIFF F&O BHAVCOPY,FUTURE,TCS
2026-06-09,FO,NSE,STF,TCS,TCS,2026-06-30,,,2179.0,2179.0,2140.0,2160.4,2161.9,2160.4,13497,5089691950.0,42531125,294350,2330,NSE,UDIFF F&O BHAVCOPY,FUTURE,TCS
2026-06-09,FO,NSE,STF,GODFRYPHLP,GODFRYPHLP,2026-08-25,,,2200.0,2249.9,2200.0,2249.9,2249.9,2249.9,2,1223722.5,9900,-275,2473,NSE,UDIFF F&O BHAVCOPY,FUTURE,GODFRYPHLP
