trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,source_file,source_module,validation_module,processing_module,processing_version,canonical_builder_module,canonical_builder_version,canonical_candidate_generated_at
2025-08-05,SMD-0001,360ONE,NSE:360ONE-EQ,1060.0,1072.9,1052.8,1065.8,497259,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\360ONE\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0003,ABB,NSE:ABB-EQ,5070.0,5099.0,5019.5,5084.0,614211,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ABB\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0004,ABCAPITAL,NSE:ABCAPITAL-EQ,279.0,284.0,273.0,282.0,17513902,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ABCAPITAL\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0007,ADANIENSOL,NSE:ADANIENSOL-EQ,803.2,804.7,782.1,802.05,1100031,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ADANIENSOL\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0008,ADANIENT,NSE:ADANIENT-EQ,2297.68,2297.68,2245.33,2257.15,559143,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ADANIENT\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0009,ADANIGREEN,NSE:ADANIGREEN-EQ,993.0,996.4,965.2,971.75,1365079,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ADANIGREEN\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0010,ADANIPORTS,NSE:ADANIPORTS-EQ,1392.0,1394.2,1346.0,1358.1,3000067,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ADANIPORTS\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0011,ADANIPOWER,NSE:ADANIPOWER-EQ,116.8,116.82,115.16,115.9,7599355,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ADANIPOWER\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0012,ALKEM,NSE:ALKEM-EQ,4892.0,4932.0,4853.0,4921.0,29316,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ALKEM\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0013,AMBER,NSE:AMBER-EQ,8050.0,8054.5,7825.5,7891.5,198943,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\AMBER\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0014,AMBUJACEM,NSE:AMBUJACEM-EQ,606.0,607.95,598.7,602.7,795422,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\AMBUJACEM\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0015,ANGELONE,NSE:ANGELONE-EQ,264.0,266.86,255.2,260.13,10206650,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ANGELONE\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0016,APLAPOLLO,NSE:APLAPOLLO-EQ,1586.4,1633.1,1585.5,1603.5,1596613,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\APLAPOLLO\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0017,APOLLOHOSP,NSE:APOLLOHOSP-EQ,7312.0,7342.0,7235.5,7274.0,282791,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\APOLLOHOSP\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0018,ASHOKLEY,NSE:ASHOKLEY-EQ,122.6,122.98,121.3,121.97,5769803,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ASHOKLEY\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0019,ASIANPAINT,NSE:ASIANPAINT-EQ,2461.9,2463.7,2409.1,2436.8,659094,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ASIANPAINT\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0020,ASTRAL,NSE:ASTRAL-EQ,1428.9,1434.4,1412.0,1427.0,451543,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\ASTRAL\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0022,AUBANK,NSE:AUBANK-EQ,754.0,755.85,739.5,742.65,1593070,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\AUBANK\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0023,AUROPHARMA,NSE:AUROPHARMA-EQ,1073.1,1109.4,1060.9,1079.3,2733423,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\AUROPHARMA\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0024,AXISBANK,NSE:AXISBANK-EQ,1068.0,1079.9,1062.5,1070.8,5318081,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\AXISBANK\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
2025-08-05,SMD-0025,BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,8176.0,8236.5,8130.0,8230.5,194083,FYERS_HISTORY_API,C:\Users\megha\AQSD\Data\Market_Price\Raw\BAJAJ-AUTO\daily_history.csv,MPD-007,MPD-008,MPD-009,1.0.0,MPD-011,1.0.0,2026-08-05T20:41:02+05:30
